Title,Active?,Activity,App Status,Archive,Comp Range,Created,Discussion Status,Docs,Employer,Last Action,Last edited,Location,Meetings & Events,Staleness,URL
Johns Hopkins,,,Applying,No,,"February 21, 2025 3:11 PM",9. Rejected,Weekly Planning (https://www.notion.so/Weekly-Planning-19da82b0b61780d2a22be9e75dd43945?pvs=21),Johns Hopkins (https://www.notion.so/Johns-Hopkins-1a1a82b0b617806fb4d5c9a0d70c50ca?pvs=21),,"September 12, 2025 1:36 PM",Rochester,i-team interview (https://www.notion.so/i-team-interview-1eda82b0b617808eb0dac9e05ec37f5f?pvs=21),,https://jobs.jhu.edu/job/Rochester-i-team-Civic-Designer%2C-Rochester%2C-NY-NY-14614/1260312400
New App,no application,,Not started,Yes,,"February 21, 2025 4:35 PM",,,,,"February 26, 2025 2:15 PM",,,,
Zillow/FUB,no application,,Disqualified,No,,"February 24, 2025 5:33 PM",,,Zillow (https://www.notion.so/Zillow-1a6a82b0b617801e832bda0851685a9b?pvs=21),,"September 18, 2025 1:20 PM",Remote,,,https://zillow.wd5.myworkdayjobs.com/en-US/Zillow_Group_External/job/Senior-Product-Designer--Follow-Up-Boss-B2B_P746321-1
Guide,no application,,Not started,Yes,,"February 24, 2025 8:44 PM",,,,,"February 25, 2025 5:07 PM",,,,
Wegmans,no application,,Done,Yes,,"February 25, 2025 4:58 PM",,,,,"February 26, 2025 2:20 PM",,,,
Citi,no application,,Done,Yes,,"February 25, 2025 4:59 PM",,,,,"February 26, 2025 2:20 PM",,,,
Upwork,no application,,Done,Yes,,"February 25, 2025 5:00 PM",,,,,"February 26, 2025 2:20 PM",,,,
Nordstrom,no application,,Done,Yes,,"February 25, 2025 5:00 PM",,,,,"February 26, 2025 2:20 PM",,,,
Pittsford,,,Done,No,,"February 25, 2025 5:01 PM",3. Scheduling,,,,"September 12, 2025 1:41 PM",,,,
omada,,,Done,Yes,,"February 25, 2025 5:02 PM",9. Rejected,,Omada (https://www.notion.so/Omada-1a8a82b0b617800eb572c1637c97791e?pvs=21),,"July 14, 2025 7:25 PM",,,,
atmosfy,no application,,Done,Yes,,"February 25, 2025 5:02 PM",,,,,"February 26, 2025 2:20 PM",,,,
Hubspot,no application,,Done,Yes,,"February 25, 2025 5:02 PM",,,,,"February 26, 2025 2:20 PM",,,,
NYS,no application,,Done,Yes,,"February 25, 2025 5:03 PM",,,,,"February 26, 2025 2:20 PM",,,,
Trimark,no application,,Done,Yes,,"February 25, 2025 5:03 PM",,,,,"February 26, 2025 2:20 PM",,,,
State Street,no application,,Done,Yes,,"February 25, 2025 5:03 PM",,,,,"February 26, 2025 2:20 PM",,,,
Oracle,no application,,Done,No,,"February 26, 2025 5:38 PM",,,Oracle (https://www.notion.so/Oracle-1a7a82b0b61780f186b6e3fad8378f0f?pvs=21),,"February 26, 2025 8:10 PM",,,,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/279892?utm_medium=jobboard&utm_source=LinkedIn
Dupe me!,no application,,Not started,Yes,,"February 26, 2025 7:48 PM",,,,,"April 18, 2025 1:54 PM",,,,
Dupe me!,no application,,Not started,Yes,,"March 3, 2025 12:25 PM",,,,,"April 18, 2025 1:54 PM",,,,
Dupe me!,no application,,Not started,Yes,,"March 5, 2025 2:26 PM",,,,,"April 18, 2025 1:54 PM",,,,
,no application,,Applying,No,,"March 24, 2025 12:39 PM",,,,,"September 12, 2025 1:36 PM",,,,
SUNY Contract,no application,,Not started,Yes,,"March 25, 2025 12:42 PM",,,,,"July 3, 2025 7:25 PM",,,,https://labor.eightfold.ai/careerhub/explore/jobs/844768644950869?domain=labor.ny.gov
Senior Prod Designer,no application,,Done,No,,"April 17, 2025 5:40 PM",,,AthenaHealth (https://www.notion.so/AthenaHealth-1d8a82b0b617807c993ad51720d3a2b2?pvs=21),,"September 18, 2025 1:20 PM",,,,https://app.usebraintrust.com/jobs/15356/?gh_src=06bf3def4us&utm_channel=jobboard&utm_source=linkedin
Senior UX Designer,,,Done,No,100-135,"July 1, 2025 2:13 PM",1. Applied,,Eagleview (https://www.notion.so/Eagleview-223a82b0b61780b8b032e36a078e3e48?pvs=21),,"July 14, 2025 4:41 PM","Remote, Rochester",,,https://careers.eagleview.com/jobs/2450?lang=en-us
"Senior Director, User Experience",,,Done,No,170-200,"July 1, 2025 2:18 PM",1. Applied,,Eagleview (https://www.notion.so/Eagleview-223a82b0b61780b8b032e36a078e3e48?pvs=21),,"July 14, 2025 7:04 PM","Remote, Rochester",,,https://careers.eagleview.com/jobs/2475?lang=en-us
Senior CX/UX Strategist,,,Done,No,,"July 1, 2025 2:25 PM",1. Applied,,Duracell (https://www.notion.so/Duracell-223a82b0b61780099a8ee7be1b104739?pvs=21),,"September 18, 2025 1:25 PM",Remote,,,https://fa-ewub-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_26/job/793?utm_medium=jobshare
